index,A,A_s,B,B_s
738,0.408205884,0,-1.290146828,0
739,0.633580957,0,-1.600137574,-0.142857143
740,0.893119676,0,-1.853215899,-0.285714286
741,1.21720859,0,-2.16276523,-0.428571429
742,1.471772058,0,-2.456323079,-0.571428571
743,1.654519762,0,-2.73014777,-0.714285714
744,1.844065257,0,-2.995576859,-0.857142857
745,2.019726753,0,-3.150494439,-1
746,2.030961445,0,-3.103036063,-1
747,2.001943997,0,-3.058670316,-1
748,1.781001091,0,-2.919369016,-1
749,1.559147699,0,-2.749489103,-1
750,1.44902856,0,-2.586269106,-1
751,1.359487806,0,-2.449388777,-1
752,1.22577204,0,-2.340402058,-1
753,0.926243373,0,-2.011995452,-0.857142857
754,0.649966444,0,-1.684633255,-0.714285714
755,0.488472394,0,-1.455019542,-0.571428571
756,0.286318983,0,-1.123591764,-0.428571429
757,0,0,-0.807374818,-0.285714286
758,0,0,-0.441951309,-0.142857143
759,0,0,-0.069757427,0
760,0,0,0,0
761,0,0,0,0
762,0,0,0,0
763,0,0,0,0
764,0,0,0,0
765,0,0,0,0
766,0,0,0,-0.142857143
767,0,0,0,-0.285714286
768,0,0,-0.342909234,-0.428571429
769,0.098614352,0,-1.018028532,-0.571428571
770,0.807739122,0,-1.638631276,-0.714285714
771,1.492107936,0,-2.247296742,-0.857142857
772,2.11137976,0,-2.756396157,-1
773,2.287010193,0,-2.787983213,-1
774,2.303147452,0,-2.728970936,-1
775,2.086016519,0.142857143,-2.425071171,-0.857142857
776,1.520740373,0.142857143,-1.931371961,-0.714285714
